atom_id_ref,layer,component,ΔBEC_xx,x,y,ΔBEC_xy,ΔBEC_xz,ΔBEC_yx,ΔBEC_yy,ΔBEC_yz,ΔBEC_zx,ΔBEC_zy,ΔBEC_zz
25605,A,xx,-0.30952,1.92647,1.92647,,,,,,,,
26085,A,xx,0.3021600000000002,5.77942,1.92647,,,,,,,,
26565,A,xx,-0.3076599999999998,9.63237,1.92647,,,,,,,,
27045,A,xx,0.30638999999999994,13.4853,1.92647,,,,,,,,
27525,A,xx,-0.30569999999999986,17.3383,1.92647,,,,,,,,
25617,A,xx,0.7278899999999999,1.92647,5.77942,,,,,,,,
25629,A,xx,-0.18820999999999977,1.92647,9.63237,,,,,,,,
26097,A,xx,-0.28881999999999985,5.77942,5.77942,,,,,,,,
26109,A,xx,0.6646200000000002,5.77942,9.63237,,,,,,,,
26577,A,xx,0.7248299999999999,9.63237,5.77942,,,,,,,,
26589,A,xx,-0.19125000000000014,9.63237,9.63237,,,,,,,,
27057,A,xx,-0.28889999999999993,13.4853,5.77942,,,,,,,,
27069,A,xx,0.6648700000000001,13.4853,9.63237,,,,,,,,
27537,A,xx,0.72051,17.3383,5.77942,,,,,,,,
27549,A,xx,-0.19496000000000002,17.3383,9.63237,,,,,,,,
25641,A,xx,0.70533,1.92647,13.4853,,,,,,,,
26121,A,xx,-0.18318999999999974,5.77942,13.4853,,,,,,,,
26601,A,xx,0.7024400000000002,9.63237,13.4853,,,,,,,,
27081,A,xx,-0.18408999999999986,13.4853,13.4853,,,,,,,,
27561,A,xx,0.6990400000000001,17.3383,13.4853,,,,,,,,
25653,A,xx,-0.17978999999999967,1.92647,17.3383,,,,,,,,
26133,A,xx,0.6916000000000002,5.77942,17.3383,,,,,,,,
26613,A,xx,-0.18147000000000002,9.63237,17.3383,,,,,,,,
27093,A,xx,0.6877300000000002,13.4853,17.3383,,,,,,,,
27573,A,xx,-0.18598999999999988,17.3383,17.3383,,,,,,,,
25665,A,xx,0.6926200000000002,1.92647,21.1912,,,,,,,,
26145,A,xx,-0.18062999999999985,5.77942,21.1912,,,,,,,,
26625,A,xx,0.69041,9.63237,21.1912,,,,,,,,
27105,A,xx,-0.18333999999999984,13.4853,21.1912,,,,,,,,
27585,A,xx,0.69061,17.3383,21.1912,,,,,,,,
25677,A,xx,-0.17993999999999977,1.92647,25.0442,,,,,,,,
26157,A,xx,0.6901900000000003,5.77942,25.0442,,,,,,,,
26637,A,xx,-0.17989999999999995,9.63237,25.0442,,,,,,,,
27117,A,xx,0.69083,13.4853,25.0442,,,,,,,,
27597,A,xx,-0.18047999999999975,17.3383,25.0442,,,,,,,,
25689,A,xx,0.6911400000000003,1.92647,28.8971,,,,,,,,
25701,A,xx,-0.18229000000000006,1.92647,32.7501,,,,,,,,
26169,A,xx,-0.18055999999999983,5.77942,28.8971,,,,,,,,
26181,A,xx,0.69197,5.77942,32.7501,,,,,,,,
26649,A,xx,0.6913800000000001,9.63237,28.8971,,,,,,,,
26661,A,xx,-0.17817999999999978,9.63237,32.7501,,,,,,,,
27129,A,xx,-0.17805999999999989,13.4853,28.8971,,,,,,,,
27141,A,xx,0.6932499999999999,13.4853,32.7501,,,,,,,,
27609,A,xx,0.6925400000000002,17.3383,28.8971,,,,,,,,
27621,A,xx,-0.17691999999999997,17.3383,32.7501,,,,,,,,
25713,A,xx,0.6900499999999998,1.92647,36.603,,,,,,,,
26193,A,xx,-0.18211999999999984,5.77942,36.603,,,,,,,,
26673,A,xx,0.6932100000000001,9.63237,36.603,,,,,,,,
27153,A,xx,-0.17749999999999977,13.4853,36.603,,,,,,,,
27633,A,xx,0.6932499999999999,17.3383,36.603,,,,,,,,
25725,A,xx,-0.1857599999999997,1.92647,40.456,,,,,,,,
26205,A,xx,0.6944699999999999,5.77942,40.456,,,,,,,,
26685,A,xx,-0.18067999999999973,9.63237,40.456,,,,,,,,
27165,A,xx,0.6949700000000001,13.4853,40.456,,,,,,,,
27645,A,xx,-0.17897000000000007,17.3383,40.456,,,,,,,,
25737,A,xx,0.6896100000000001,1.92647,44.3089,,,,,,,,
25749,A,xx,-0.21233999999999975,1.92647,48.1619,,,,,,,,
26217,A,xx,-0.19028,5.77942,44.3089,,,,,,,,
26229,A,xx,0.7042900000000003,5.77942,48.1619,,,,,,,,
26697,A,xx,0.69286,9.63237,44.3089,,,,,,,,
26709,A,xx,-0.20948999999999973,9.63237,48.1619,,,,,,,,
27177,A,xx,-0.18611999999999984,13.4853,44.3089,,,,,,,,
27189,A,xx,0.70431,13.4853,48.1619,,,,,,,,
27657,A,xx,0.6929500000000002,17.3383,44.3089,,,,,,,,
27669,A,xx,-0.20675,17.3383,48.1619,,,,,,,,
25761,A,xx,0.3447300000000002,1.92647,52.0148,,,,,,,,
26241,A,xx,-0.31259999999999977,5.77942,52.0148,,,,,,,,
26721,A,xx,0.34318000000000026,9.63237,52.0148,,,,,,,,
27201,A,xx,-0.31449000000000016,13.4853,52.0148,,,,,,,,
27681,A,xx,0.3393299999999999,17.3383,52.0148,,,,,,,,
25773,A,xx,-0.3027599999999997,1.92647,55.8678,,,,,,,,
26253,A,xx,0.7511700000000001,5.77942,55.8678,,,,,,,,
26733,A,xx,-0.30333999999999994,9.63237,55.8678,,,,,,,,
27213,A,xx,0.7526999999999999,13.4853,55.8678,,,,,,,,
27693,A,xx,-0.3048099999999998,17.3383,55.8678,,,,,,,,
25785,A,xx,0.6630099999999999,1.92647,59.7207,,,,,,,,
26265,A,xx,-0.21775999999999973,5.77942,59.7207,,,,,,,,
26745,A,xx,0.6647799999999999,9.63237,59.7207,,,,,,,,
27225,A,xx,-0.21685,13.4853,59.7207,,,,,,,,
27705,A,xx,0.66534,17.3383,59.7207,,,,,,,,
25797,A,xx,-0.21019999999999994,1.92647,63.5737,,,,,,,,
26277,A,xx,0.70994,5.77942,63.5737,,,,,,,,
26757,A,xx,-0.20874999999999977,9.63237,63.5737,,,,,,,,
27237,A,xx,0.71068,13.4853,63.5737,,,,,,,,
27717,A,xx,-0.20859999999999967,17.3383,63.5737,,,,,,,,
25809,A,xx,0.6981600000000001,1.92647,67.4266,,,,,,,,
25821,A,xx,-0.31643,1.92647,71.2796,,,,,,,,
26289,A,xx,-0.2138,5.77942,67.4266,,,,,,,,
26301,A,xx,0.29620000000000024,5.77942,71.2796,,,,,,,,
26769,A,xx,0.6997500000000003,9.63237,67.4266,,,,,,,,
26781,A,xx,-0.3151299999999999,9.63237,71.2796,,,,,,,,
27249,A,xx,-0.21350999999999987,13.4853,67.4266,,,,,,,,
27261,A,xx,0.30051000000000005,13.4853,71.2796,,,,,,,,
27729,A,xx,0.7006800000000002,17.3383,67.4266,,,,,,,,
27741,A,xx,-0.31176000000000004,17.3383,71.2796,,,,,,,,
25833,A,xx,0.72431,1.92647,75.1325,,,,,,,,
26313,A,xx,-0.29037999999999986,5.77942,75.1325,,,,,,,,
26793,A,xx,0.72654,9.63237,75.1325,,,,,,,,
27273,A,xx,-0.29086999999999996,13.4853,75.1325,,,,,,,,
27753,A,xx,0.72472,17.3383,75.1325,,,,,,,,
25845,A,xx,-0.19128999999999996,1.92647,78.9855,,,,,,,,
26325,A,xx,0.66703,5.77942,78.9855,,,,,,,,
26805,A,xx,-0.19067999999999996,9.63237,78.9855,,,,,,,,
27285,A,xx,0.6663000000000001,13.4853,78.9855,,,,,,,,
27765,A,xx,-0.1931400000000001,17.3383,78.9855,,,,,,,,
25857,A,xx,0.7051400000000001,1.92647,82.8384,,,,,,,,
26337,A,xx,-0.1828400000000001,5.77942,82.8384,,,,,,,,
26817,A,xx,0.7050300000000003,9.63237,82.8384,,,,,,,,
27297,A,xx,-0.1848700000000001,13.4853,82.8384,,,,,,,,
27777,A,xx,0.70391,17.3383,82.8384,,,,,,,,
25869,A,xx,-0.18050999999999995,1.92647,86.6914,,,,,,,,
25881,A,xx,0.6949200000000002,1.92647,90.5443,,,,,,,,
26349,A,xx,0.6922100000000002,5.77942,86.6914,,,,,,,,
26361,A,xx,-0.18104999999999993,5.77942,90.5443,,,,,,,,
26829,A,xx,-0.18375999999999992,9.63237,86.6914,,,,,,,,
26841,A,xx,0.6939800000000003,9.63237,90.5443,,,,,,,,
27309,A,xx,0.6895800000000003,13.4853,86.6914,,,,,,,,
27321,A,xx,-0.18486000000000002,13.4853,90.5443,,,,,,,,
27789,A,xx,-0.1851499999999997,17.3383,86.6914,,,,,,,,
27801,A,xx,0.6906600000000003,17.3383,90.5443,,,,,,,,
25893,A,xx,-0.1788099999999999,1.92647,94.3973,,,,,,,,
26373,A,xx,0.6948099999999999,5.77942,94.3973,,,,,,,,
26853,A,xx,-0.18323,9.63237,94.3973,,,,,,,,
27333,A,xx,0.6907000000000001,13.4853,94.3973,,,,,,,,
27813,A,xx,-0.18570999999999982,17.3383,94.3973,,,,,,,,
25905,A,xx,0.6930800000000001,1.92647,98.2502,,,,,,,,
26385,A,xx,-0.17942999999999998,5.77942,98.2502,,,,,,,,
26865,A,xx,0.6934100000000001,9.63237,98.2502,,,,,,,,
27345,A,xx,-0.1833800000000001,13.4853,98.2502,,,,,,,,
27825,A,xx,0.6906600000000003,17.3383,98.2502,,,,,,,,
25917,A,xx,-0.17887999999999993,1.92647,102.103,,,,,,,,
26397,A,xx,0.69367,5.77942,102.103,,,,,,,,
26877,A,xx,-0.18072,9.63237,102.103,,,,,,,,
27357,A,xx,0.6921400000000002,13.4853,102.103,,,,,,,,
27837,A,xx,-0.18121999999999971,17.3383,102.103,,,,,,,,
25929,A,xx,0.6912600000000002,1.92647,105.956,,,,,,,,
25941,A,xx,-0.18154000000000003,1.92647,109.809,,,,,,,,
26409,A,xx,-0.17864999999999975,5.77942,105.956,,,,,,,,
26421,A,xx,0.69109,5.77942,109.809,,,,,,,,
26889,A,xx,0.6930499999999999,9.63237,105.956,,,,,,,,
26901,A,xx,-0.17910000000000004,9.63237,109.809,,,,,,,,
27369,A,xx,-0.18023999999999996,13.4853,105.956,,,,,,,,
27381,A,xx,0.69217,13.4853,109.809,,,,,,,,
27849,A,xx,0.6904300000000001,17.3383,105.956,,,,,,,,
27861,A,xx,-0.18195000000000006,17.3383,109.809,,,,,,,,
25953,A,xx,0.6895199999999999,1.92647,113.662,,,,,,,,
26433,A,xx,-0.18028999999999984,5.77942,113.662,,,,,,,,
26913,A,xx,0.6906300000000001,9.63237,113.662,,,,,,,,
27393,A,xx,-0.18040000000000012,13.4853,113.662,,,,,,,,
27873,A,xx,0.6911200000000002,17.3383,113.662,,,,,,,,
25965,A,xx,-0.18643999999999972,1.92647,117.515,,,,,,,,
26445,A,xx,0.6918800000000003,5.77942,117.515,,,,,,,,
26925,A,xx,-0.1846000000000001,9.63237,117.515,,,,,,,,
27405,A,xx,0.6937800000000003,13.4853,117.515,,,,,,,,
27885,A,xx,-0.1815199999999999,17.3383,117.515,,,,,,,,
