chgnet dft diff
0.000000 0.000000 0.000000
-0.000002 -0.000024 -0.000022
0.000002 -0.000067 -0.000069
0.000012 -0.000130 -0.000142
0.000030 -0.000209 -0.000239
0.000057 -0.000303 -0.000360
0.000092 -0.000407 -0.000499
0.000136 -0.000518 -0.000655
0.000190 -0.000638 -0.000828
0.000257 -0.000761 -0.001018
0.000338 -0.000884 -0.001221
0.001238 -0.001353 -0.002591
0.001900 -0.001364 -0.003264
0.003568 -0.001087 -0.004655
0.003624 -0.001081 -0.004706
0.002899 -0.001430 -0.004329
0.001962 -0.001526 -0.003489
0.001522 -0.001327 -0.002849
0.001152 -0.000978 -0.002130
0.001697 -0.001354 -0.003050
0.002641 -0.001267 -0.003908
0.002938 -0.001012 -0.003950
0.002347 -0.001110 -0.003458
0.001634 -0.000930 -0.002564
0.001051 -0.001054 -0.002104
0.001417 -0.001047 -0.002464
0.002278 -0.001047 -0.003326
0.002998 -0.001008 -0.004006
0.003036 -0.000959 -0.003995
0.002790 -0.000847 -0.003637
0.002676 -0.000842 -0.003518
0.002247 -0.000569 -0.002816
0.002311 -0.000558 -0.002869
0.002841 -0.000548 -0.003389
0.002711 -0.000925 -0.003636
0.002963 -0.000434 -0.003397
0.002503 -0.000654 -0.003158
0.002413 -0.000344 -0.002757
0.002559 -0.000623 -0.003182
0.003277 -0.000257 -0.003534
0.002499 -0.000644 -0.003143
0.002464 -0.000113 -0.002576
0.002617 0.000068 -0.002549
0.002821 0.000168 -0.002653
0.002969 0.000101 -0.002868
0.003538 0.000423 -0.003115
0.003894 0.000627 -0.003267
0.003296 0.000229 -0.003066
0.003903 0.001297 -0.002606
0.003530 0.001056 -0.002473
0.003844 0.001172 -0.002672
0.004457 0.001540 -0.002916
0.004536 0.001457 -0.003080
0.004137 0.001518 -0.002619
0.003675 0.001379 -0.002296
0.003946 0.001860 -0.002085
0.004763 0.001286 -0.003477
0.005507 0.001404 -0.004103
0.005482 0.002312 -0.003170
0.004128 0.001810 -0.002317
0.003984 0.002658 -0.001326
0.004869 0.002630 -0.002239
0.004921 0.001710 -0.003211
0.004466 0.001787 -0.002679
0.005483 0.002061 -0.003421
0.006221 0.002532 -0.003689
0.005949 0.002890 -0.003058
0.004872 0.002361 -0.002511
0.005805 0.003616 -0.002189
0.005202 0.002752 -0.002451
0.006959 0.004304 -0.002655
0.006346 0.003661 -0.002686
0.007661 0.005778 -0.001883
0.006532 0.004758 -0.001774
0.006207 0.004458 -0.001749
