ix,iy,x,y,Px,Py,Pz,Pab,Pmag
0,0,1.955851555,1.955520439,-42.91848088,-38.20533579,36.8128055,57.45993112,68.24094323
1,0,5.867554665,1.955520439,-49.63209843,-41.6299079,34.16788612,64.77958341,73.23823365
2,0,9.779257774,1.955520439,-32.20266086,-13.59715894,38.1613418,34.95560181,51.7511556
3,0,13.69096088,1.955520439,-35.11320019,40.87037817,-29.55698655,53.88250773,61.45681486
4,0,17.60266399,1.955520439,-34.93134544,38.929724,-32.86413226,52.30413278,61.77194748
5,0,21.5143671,1.955520439,-34.25790297,40.05758712,-33.25170997,52.70876779,62.32086663
6,0,25.42607021,1.955520439,-34.24748279,37.65719284,-33.6780678,50.90141698,61.03414209
7,0,29.33777332,1.955520439,-32.98574788,39.187078,-31.95581092,51.2219352,60.37268006
8,0,33.24947643,1.955520439,-32.45346614,37.17253715,-33.96121847,49.3459723,59.90316638
9,0,37.16117954,1.955520439,-32.27244872,37.67683225,-32.38656856,49.60901768,59.24478423
10,0,41.07288265,1.955520439,-30.89536096,37.18678402,-30.83123538,48.34646041,57.34060786
11,0,44.98458576,1.955520439,-30.26388941,37.01238693,-32.22788032,47.81024774,57.65809621
12,0,48.89628887,1.955520439,-27.44053473,37.35176483,-30.05373823,46.34800193,55.23915699
13,0,52.80799198,1.955520439,-28.80405915,30.25254956,-25.84152834,41.77188742,49.11898986
14,0,56.71969509,1.955520439,-36.86207849,13.11767816,-22.07658285,39.12654228,44.92506896
15,0,60.6313982,1.955520439,-37.82693844,-37.63780043,37.56042121,53.36179619,65.25539468
16,0,64.54310131,1.955520439,-42.1124062,-38.85742569,39.71668958,57.30056097,69.71922058
17,0,68.45480442,1.955520439,-39.76409956,-39.46654905,34.8885338,56.02492399,66.00001438
18,0,72.36650753,1.955520439,-40.97894872,-39.21286884,37.71228318,56.71792769,68.11122979
19,0,76.27821064,1.955520439,-41.20483886,-40.24945482,37.35117043,57.60084512,68.65105455
0,1,1.955851555,5.866561317,-43.63437359,-38.51278857,39.05718103,58.19960001,70.09034763
1,1,5.867554665,5.866561317,-44.73070723,-37.14761162,38.35103381,58.14448571,69.65330583
2,1,9.779257774,5.866561317,-44.80094357,-21.2756441,26.15210651,49.59614478,56.06879927
3,1,13.69096088,5.866561317,-37.89786168,42.28037133,-35.49534884,56.77920147,66.96116419
4,1,17.60266399,5.866561317,-40.18943587,40.54031994,-38.040913,57.08509697,68.5989749
5,1,21.5143671,5.866561317,-37.04722065,41.58452806,-37.62188281,55.69353222,67.20993675
6,1,25.42607021,5.866561317,-37.10486784,40.96096413,-39.08104841,55.26818072,67.68973441
7,1,29.33777332,5.866561317,-37.52449232,39.94116607,-37.17884105,54.80314107,66.224244
8,1,33.24947643,5.866561317,-36.45284506,41.53510662,-38.01935491,55.26278129,67.07791249
9,1,37.16117954,5.866561317,-35.46260791,39.39957173,-38.33393333,53.00870507,65.41722447
10,1,41.07288265,5.866561317,-36.28527267,40.50724799,-36.73579218,54.38251697,65.62755961
11,1,44.98458576,5.866561317,-37.99969846,40.42183149,-36.73313902,55.47883871,66.53739585
12,1,48.89628887,5.866561317,-36.22413119,40.43367699,-38.90886711,54.28692214,66.79049225
13,1,52.80799198,5.866561317,-38.35997331,34.78478848,-34.10237423,51.78290318,62.00355627
14,1,56.71969509,5.866561317,-37.27773533,22.86207034,-23.57897683,43.72989608,49.68170649
15,1,60.6313982,5.866561317,-40.27850869,-36.17730533,36.76708049,54.14014853,65.44443361
16,1,64.54310131,5.866561317,-39.96682948,-38.9452731,39.72624004,55.80395824,68.50004309
17,1,68.45480442,5.866561317,-40.17527637,-38.61148881,40.35644433,55.72162865,68.8007449
18,1,72.36650753,5.866561317,-40.55725926,-40.19022121,38.63295856,57.09768086,68.93947089
19,1,76.27821064,5.866561317,-42.39697497,-38.8824347,40.32208337,57.526926,70.25110406
0,2,1.955851555,9.777602196,-39.96215054,-38.85721229,41.88337703,55.73918211,69.72140055
1,2,5.867554665,9.777602196,-43.58115511,-35.71740671,38.20091633,56.347584,68.07613555
2,2,9.779257774,9.777602196,-41.02405995,-24.32524558,26.66068925,47.69372147,54.6395774
3,2,13.69096088,9.777602196,-39.72849097,39.71536653,-37.31264717,56.17529113,67.43809734
4,2,17.60266399,9.777602196,-38.47254458,40.04506601,-37.96254299,55.53146854,67.26736704
5,2,21.5143671,9.777602196,-38.66034948,38.37570145,-38.75306652,54.47308587,66.8514566
6,2,25.42607021,9.777602196,-39.52680884,37.73013067,-38.32975376,54.64367646,66.74654598
7,2,29.33777332,9.777602196,-38.65014316,38.29747995,-38.02498954,54.41075754,66.38094882
8,2,33.24947643,9.777602196,-37.6283399,37.04802502,-38.77544788,52.80575842,65.51323133
9,2,37.16117954,9.777602196,-38.28472286,39.67044165,-39.77398473,55.1313336,67.98112831
10,2,41.07288265,9.777602196,-36.467158,38.99710339,-35.96661551,53.39126975,64.37565625
11,2,44.98458576,9.777602196,-35.86160965,38.97182335,-38.1676933,52.96091069,65.28116783
12,2,48.89628887,9.777602196,-37.27680647,38.16975217,-39.80810546,53.3525096,66.5670755
13,2,52.80799198,9.777602196,-38.69580448,34.90666898,-36.401567,52.1137297,63.56819098
14,2,56.71969509,9.777602196,-40.19280403,25.73496278,-23.14303935,47.72577715,53.04102257
15,2,60.6313982,9.777602196,-39.27060903,-38.6297071,38.02276605,55.08570599,66.93404023
16,2,64.54310131,9.777602196,-40.31621887,-37.02468537,42.07463559,54.73778248,69.03984205
17,2,68.45480442,9.777602196,-39.38602364,-39.88384018,39.58893042,56.05336356,68.62406996
18,2,72.36650753,9.777602196,-39.56965951,-38.06618296,39.6923045,54.90712375,67.75154076
19,2,76.27821064,9.777602196,-40.41882558,-39.55655063,41.56631278,56.55441768,70.18661209
0,3,1.955851555,13.68864307,-39.12721736,-39.76186683,42.06616335,55.78481148,69.86778436
1,3,5.867554665,13.68864307,-43.17110826,-36.45607652,36.39449153,56.50477947,67.21122761
2,3,9.779257774,13.68864307,-40.03062059,-28.92585769,25.46700884,49.38781052,55.56729584
3,3,13.69096088,13.68864307,-38.29298527,39.97130268,-36.15645173,55.35393174,66.11616111
4,3,17.60266399,13.68864307,-37.22154351,39.00075224,-40.28493243,53.91198361,67.30065198
5,3,21.5143671,13.68864307,-37.83274519,40.83197872,-39.25356275,55.66477427,68.11320931
6,3,25.42607021,13.68864307,-38.23580603,39.44764503,-38.48620117,54.93717831,67.0766818
7,3,29.33777332,13.68864307,-38.66122874,39.14146355,-39.33779195,55.01585932,67.63288144
8,3,33.24947643,13.68864307,-39.574225,39.15217099,-39.32041283,55.66876842,68.1550192
9,3,37.16117954,13.68864307,-38.84277951,40.58148462,-38.07111362,56.17489131,67.86035739
10,3,41.07288265,13.68864307,-37.7529734,37.84625027,-40.35632388,53.4567644,66.9795382
11,3,44.98458576,13.68864307,-39.60425572,38.16211551,-37.60790313,54.998583,66.62731054
12,3,48.89628887,13.68864307,-38.03026371,39.69711247,-39.03561013,54.97419119,67.42359049
13,3,52.80799198,13.68864307,-42.32132685,35.5738191,-32.44104119,55.28644781,64.10157927
14,3,56.71969509,13.68864307,-37.7809945,28.13737883,-21.01019674,47.1074902,51.58046142
15,3,60.6313982,13.68864307,-38.04418735,-37.68630141,38.20586339,53.5501401,65.78225826
16,3,64.54310131,13.68864307,-38.88607229,-39.09383809,40.95260557,55.14031914,68.68457394
17,3,68.45480442,13.68864307,-39.65087409,-38.46843351,40.53720387,55.24501962,68.52209199
18,3,72.36650753,13.68864307,-38.65080659,-40.18862206,41.11025722,55.75849884,69.27527294
19,3,76.27821064,13.68864307,-39.34277917,-37.37687637,41.12399567,54.26679611,68.08867879
0,4,1.955851555,17.59968395,-36.6059635,-40.19925,39.60589617,54.36889059,67.26517134
1,4,5.867554665,17.59968395,-41.29360763,-36.75354018,35.02652946,55.28096189,65.44342987
2,4,9.779257774,17.59968395,-38.37313478,-26.65666275,26.04612345,46.72338967,53.49276296
3,4,13.69096088,17.59968395,-39.44887141,38.79881957,-36.40548832,55.3313822,66.23383905
4,4,17.60266399,17.59968395,-39.04754795,39.33703202,-36.22868852,55.42664602,66.21654597
5,4,21.5143671,17.59968395,-40.4490262,38.92310289,-37.82807588,56.13494151,67.6911736
6,4,25.42607021,17.59968395,-39.18174478,38.50312115,-37.18007446,54.93359139,66.33292847
7,4,29.33777332,17.59968395,-38.49446689,38.33578273,-38.54009756,54.32730638,66.60927367
8,4,33.24947643,17.59968395,-37.91827415,39.42993897,-37.96268266,54.70389019,66.58589097
9,4,37.16117954,17.59968395,-39.31607241,38.19373066,-38.66579594,54.81345284,67.07874766
10,4,41.07288265,17.59968395,-37.89796704,37.63752879,-38.48171083,53.4119788,65.83070369
11,4,44.98458576,17.59968395,-39.33878525,40.44200914,-36.60615324,56.41893413,67.2540451
12,4,48.89628887,17.59968395,-37.93258465,39.96610608,-38.19636198,55.10145745,67.04575066
13,4,52.80799198,17.59968395,-39.47652173,36.18794942,-34.5901445,53.55337012,63.75297286
14,4,56.71969509,17.59968395,-38.05308469,27.31874526,-22.32358112,46.84390138,51.89116852
15,4,60.6313982,17.59968395,-37.53678931,-36.42817681,38.77720479,52.30700352,65.11293442
16,4,64.54310131,17.59968395,-38.00878561,-39.60832945,40.75149733,54.89524156,68.36791704
17,4,68.45480442,17.59968395,-39.60978917,-40.61437952,40.65166122,56.73150114,69.79269863
18,4,72.36650753,17.59968395,-40.03034669,-36.9285244,41.9881403,54.46232249,68.76880468
19,4,76.27821064,17.59968395,-41.04940442,-39.88781667,37.99642029,57.23715158,68.70094232
0,5,1.955851555,21.51072483,-38.65717757,-38.52935901,39.77983211,54.57919827,67.53757418
1,5,5.867554665,21.51072483,-41.0752114,-36.91451225,36.15516432,55.22548512,66.00795492
2,5,9.779257774,21.51072483,-40.59658388,-27.00257202,28.70634992,48.7567587,56.57982012
3,5,13.69096088,21.51072483,-37.87985924,38.50074969,-35.99970527,54.01103093,64.90893808
4,5,17.60266399,21.51072483,-38.62162166,38.7278753,-39.52333208,54.69440542,67.48015829
5,5,21.5143671,21.51072483,-37.51719661,38.54852139,-37.19961108,53.79152855,65.40137314
6,5,25.42607021,21.51072483,-38.56245505,38.61101573,-37.54564468,54.56989532,66.23857569
7,5,29.33777332,21.51072483,-39.31523916,38.58092405,-37.83907832,55.08335257,66.82792514
8,5,33.24947643,21.51072483,-39.96815017,40.01205448,-39.05748902,56.55455359,68.73066987
9,5,37.16117954,21.51072483,-38.32242677,39.15938899,-38.49337238,54.79111369,66.96122652
10,5,41.07288265,21.51072483,-38.37591468,38.98179673,-38.63477268,54.70184004,66.96967197
11,5,44.98458576,21.51072483,-40.05222443,39.73586869,-36.52126938,56.41914517,67.20805799
12,5,48.89628887,21.51072483,-38.14219802,38.53092193,-39.49273641,54.21677983,67.075595
13,5,52.80799198,21.51072483,-41.04600179,36.19262649,-34.25436347,54.72367381,64.56037401
14,5,56.71969509,21.51072483,-36.45324605,25.66505823,-23.1513053,44.58177163,50.2346225
15,5,60.6313982,21.51072483,-38.41017357,-37.15132204,39.30891265,53.43746029,66.33816983
16,5,64.54310131,21.51072483,-39.49182058,-39.35256831,40.38399282,55.751489,68.84108803
17,5,68.45480442,21.51072483,-40.73526586,-39.80852487,39.71239951,56.95683046,69.43453904
18,5,72.36650753,21.51072483,-37.35867766,-38.40246229,40.71849208,53.57629986,67.29350269
19,5,76.27821064,21.51072483,-37.90583521,-39.5638626,40.90347702,54.79189326,68.37577056
0,6,1.955851555,25.42176571,-37.88875662,-39.73558916,40.53342835,54.90423411,68.24539353
1,6,5.867554665,25.42176571,-43.09153124,-37.38934532,36.57487198,57.05123318,67.76846219
2,6,9.779257774,25.42176571,-37.77209641,-25.51697205,28.21576719,45.58340849,53.60948282
3,6,13.69096088,25.42176571,-38.54066585,37.51608081,-35.67066936,53.78512102,64.53863878
4,6,17.60266399,25.42176571,-38.24659957,38.75063676,-37.83813681,54.44643448,66.30338471
5,6,21.5143671,25.42176571,-37.9825475,39.72592111,-39.02570753,54.96201163,67.40792662
6,6,25.42607021,25.42176571,-37.74208541,38.99997833,-38.25707222,54.27212287,66.40080494
7,6,29.33777332,25.42176571,-38.02991614,39.19091313,-36.8233711,54.60954306,65.86473148
8,6,33.24947643,25.42176571,-38.77192324,37.9405418,-38.55081858,54.24708973,66.55007406
9,6,37.16117954,25.42176571,-38.82624333,38.43023961,-38.23159695,54.62930063,66.67844849
10,6,41.07288265,25.42176571,-37.74490076,39.33456548,-37.94050595,54.51500321,66.4181268
11,6,44.98458576,25.42176571,-40.22732543,39.34339585,-38.96596301,56.26846815,68.44331071
12,6,48.89628887,25.42176571,-37.26339872,39.41592552,-37.08094656,54.24182951,65.70519513
13,6,52.80799198,25.42176571,-41.74365063,35.47141941,-34.97820257,54.77913803,64.99406602
14,6,56.71969509,25.42176571,-37.76724874,26.91844421,-21.24647001,46.37852645,51.01352962
15,6,60.6313982,25.42176571,-38.92490275,-38.02738308,40.01096497,54.41718403,67.543373
16,6,64.54310131,25.42176571,-37.62130287,-40.52225169,40.82803662,55.2938994,68.73386273
17,6,68.45480442,25.42176571,-37.81596338,-39.68196519,40.86436367,54.81519359,68.37105869
18,6,72.36650753,25.42176571,-39.36132606,-39.10649926,41.75937091,55.48542398,69.44405902
19,6,76.27821064,25.42176571,-39.22607909,-39.16962597,40.32962975,55.43414903,68.55234434
0,7,1.955851555,29.33280659,-37.70942998,-40.42651987,39.37682251,55.28385495,67.87369718
1,7,5.867554665,29.33280659,-41.61828588,-34.97219691,37.48382372,54.36116514,66.03160847
2,7,9.779257774,29.33280659,-39.22625354,-27.07833787,26.09835839,47.66482297,54.3420616
3,7,13.69096088,29.33280659,-39.92738413,38.22375917,-36.07755302,55.27433191,66.00637545
4,7,17.60266399,29.33280659,-40.72724315,38.7321091,-39.69096067,56.20395547,68.80593702
5,7,21.5143671,29.33280659,-38.75188153,39.71291519,-38.50899648,55.48715126,67.54085256
6,7,25.42607021,29.33280659,-39.05243286,39.51190302,-38.87563921,55.5543247,67.80559207
7,7,29.33777332,29.33280659,-38.14229837,38.48202343,-38.84208335,54.18211007,66.66639701
8,7,33.24947643,29.33280659,-37.61457686,39.1959219,-38.9344432,54.32473365,66.83612461
9,7,37.16117954,29.33280659,-38.46643012,39.17183885,-38.30965072,54.90081243,66.9457134
10,7,41.07288265,29.33280659,-38.26222743,37.70641762,-38.9554101,53.71938177,66.35733534
11,7,44.98458576,29.33280659,-39.23783813,39.66206597,-38.27081753,55.79146367,67.65606324
12,7,48.89628887,29.33280659,-37.41576921,38.72422825,-39.0017814,53.84705785,66.48792816
13,7,52.80799198,29.33280659,-41.39078478,34.89250488,-34.69908095,54.13579187,64.30171211
14,7,56.71969509,29.33280659,-38.92919906,26.80857829,-21.58095175,47.26713879,51.96075334
15,7,60.6313982,29.33280659,-37.90954842,-38.12373247,37.788848,53.76386183,65.71567448
16,7,64.54310131,29.33280659,-37.89332464,-41.23003876,40.25946061,55.99839416,68.96842986
17,7,68.45480442,29.33280659,-38.81972562,-37.60993125,40.55275669,54.05069866,67.57221397
18,7,72.36650753,29.33280659,-38.87930588,-39.95930308,40.73900425,55.75254548,69.05079866
19,7,76.27821064,29.33280659,-39.36818332,-37.72194619,38.09380107,54.52338106,66.51268121
0,8,1.955851555,33.24384747,-37.93191885,-37.58537226,43.52124726,53.39935089,68.8882402
1,8,5.867554665,33.24384747,-41.8814153,-37.37449166,36.92917052,56.13292772,67.1912882
2,8,9.779257774,33.24384747,-39.73178349,-28.15368845,26.3211231,48.69542887,55.35382836
3,8,13.69096088,33.24384747,-38.92153862,39.59502274,-37.207088,55.52163537,66.83576432
4,8,17.60266399,33.24384747,-39.1391593,38.82333119,-39.84875607,55.12825805,68.02240952
5,8,21.5143671,33.24384747,-40.21086381,38.80053746,-39.37356798,55.87839721,68.35695378
6,8,25.42607021,33.24384747,-39.39792107,40.0733831,-39.37662499,56.19672782,68.61917234
7,8,29.33777332,33.24384747,-39.39345179,38.92823559,-39.63322913,55.38277322,68.1031895
8,8,33.24947643,33.24384747,-38.81436587,38.32092745,-37.45924283,54.54400498,66.16829567
9,8,37.16117954,33.24384747,-39.43979913,39.46598326,-39.01574326,55.79481687,68.08296271
10,8,41.07288265,33.24384747,-38.83819042,38.55755815,-36.83258096,54.7274184,65.96763862
11,8,44.98458576,33.24384747,-39.34971624,39.85021036,-38.3282437,56.00392338,67.86378783
12,8,48.89628887,33.24384747,-38.37597259,39.43927296,-38.94825685,55.02882448,67.41764039
13,8,52.80799198,33.24384747,-41.1716346,36.12809663,-35.42198409,54.77538555,65.23081955
14,8,56.71969509,33.24384747,-39.86280959,26.42445361,-22.5515759,47.82567654,52.87597671
15,8,60.6313982,33.24384747,-37.67466291,-39.01688153,39.36509653,54.23741577,67.01722237
16,8,64.54310131,33.24384747,-39.31140779,-38.88940341,40.62942959,55.29712903,68.61867842
17,8,68.45480442,33.24384747,-38.93104345,-39.19011528,40.16117233,55.24030485,68.29649364
18,8,72.36650753,33.24384747,-38.6850407,-38.86352883,41.14619032,54.83526463,68.55592772
19,8,76.27821064,33.24384747,-38.95625674,-39.42063071,40.63749802,55.42180135,68.72395732
0,9,1.955851555,37.15488834,-37.49525559,-38.54993931,40.55007534,53.77724437,67.35206472
1,9,5.867554665,37.15488834,-41.18620387,-36.78818917,35.51173041,55.22385582,65.65635726
2,9,9.779257774,37.15488834,-39.94288568,-25.85530418,25.79382215,47.58078258,54.12256583
3,9,13.69096088,37.15488834,-39.32268799,37.10969072,-38.02873881,54.06850226,66.10285857
4,9,17.60266399,37.15488834,-39.32406603,40.29953452,-37.02176865,56.30661286,67.38728371
5,9,21.5143671,37.15488834,-40.30386451,37.43121517,-38.28925175,55.0045213,67.01913281
6,9,25.42607021,37.15488834,-39.3065252,37.4132926,-38.33381485,54.26561883,66.43973771
7,9,29.33777332,37.15488834,-38.66264027,37.76866485,-37.50943485,54.04879089,65.78928104
8,9,33.24947643,37.15488834,-38.99695905,37.9536088,-40.15483434,54.41726965,67.62876575
9,9,37.16117954,37.15488834,-38.90628723,39.11835961,-39.12463024,55.17196067,67.63639505
10,9,41.07288265,37.15488834,-39.22166257,39.02543403,-38.47998182,55.3292266,67.39460154
11,9,44.98458576,37.15488834,-38.9219393,38.3882377,-39.5549488,54.667853,67.47716745
12,9,48.89628887,37.15488834,-37.43800146,39.81413338,-40.263016,54.65134189,67.88136436
13,9,52.80799198,37.15488834,-41.80332382,35.70123922,-35.69324927,54.97359697,65.54467489
14,9,56.71969509,37.15488834,-37.53360821,27.30940561,-23.24277673,46.41740385,51.91148283
15,9,60.6313982,37.15488834,-37.99812409,-39.50884691,36.62701429,54.81611459,65.92681241
16,9,64.54310131,37.15488834,-38.282833,-40.56063724,40.44221359,55.77401362,68.89349197
17,9,68.45480442,37.15488834,-38.27817215,-40.58749455,41.09172092,55.79035021,69.28991777
18,9,72.36650753,37.15488834,-39.43902641,-37.41583092,40.41380805,54.36341792,67.73962717
19,9,76.27821064,37.15488834,-38.58193634,-38.83743292,40.71826572,54.74405911,68.22674821
