# dft_x model_x dft_y model_y dft_z model_z diff_x diff_y diff_z
0.341696 0.354343 -0.202582 -0.169301 -0.697989 -0.725037 0.012646 0.033281 0.027048
-0.032269 -0.039677 0.131688 0.129403 0.060852 0.081965 0.007408 0.002285 0.021113
0.627746 0.615092 -0.181970 -0.165306 0.631846 0.651464 0.012654 0.016665 0.019618
0.427103 0.431584 -0.249654 -0.243229 -0.632297 -0.682532 0.004481 0.006425 0.050234
0.486189 0.475682 0.186143 0.186844 -0.173670 -0.140379 0.010507 0.000701 0.033291
-0.548433 -0.495272 0.090769 0.084277 0.127971 0.155262 0.053161 0.006492 0.027290
0.173513 0.211494 -0.123503 -0.125060 0.532575 0.504251 0.037982 0.001557 0.028324
0.325779 0.316577 -0.200212 -0.208486 -0.076061 -0.049167 0.009201 0.008274 0.026893
-0.038923 -0.014219 0.014818 -0.025357 0.098708 0.095928 0.024704 0.040176 0.002780
0.147482 0.159071 0.018933 0.003045 -0.079992 -0.107346 0.011589 0.015888 0.027354
-0.088064 -0.077363 -0.082677 -0.073626 -0.288780 -0.280468 0.010701 0.009051 0.008312
0.087116 0.102189 -0.101229 -0.066396 -0.026503 -0.041639 0.015073 0.034833 0.015136
0.148015 0.112845 -0.195332 -0.182393 -0.034330 -0.022314 0.035170 0.012939 0.012015
-0.104028 -0.095283 0.142573 0.099784 0.299180 0.340793 0.008744 0.042789 0.041613
0.292976 0.263564 0.065822 0.104389 -0.065932 -0.146242 0.029413 0.038567 0.080310
0.093015 0.114527 0.651365 0.603210 0.219566 0.197465 0.021512 0.048154 0.022101
0.055050 0.071366 0.041409 0.008013 -0.030484 -0.046863 0.016316 0.033396 0.016379
-0.691298 -0.666377 0.083885 0.075129 0.825475 0.807572 0.024921 0.008756 0.017903
0.063473 0.027829 0.137437 0.126467 0.027994 0.019617 0.035644 0.010970 0.008377
-0.060514 -0.103787 0.376036 0.374654 -0.041085 -0.050751 0.043273 0.001382 0.009666
-0.074464 -0.091451 0.300290 0.315674 0.748575 0.753103 0.016987 0.015383 0.004528
-0.248330 -0.251481 -0.111718 -0.093567 -0.050256 -0.031070 0.003151 0.018150 0.019185
-0.187076 -0.200036 -0.174061 -0.150381 -0.700170 -0.663401 0.012960 0.023680 0.036769
0.264573 0.285417 -0.133925 -0.129801 -0.540818 -0.527817 0.020843 0.004123 0.013001
0.351558 0.347732 0.147265 0.152810 -0.549781 -0.535660 0.003826 0.005545 0.014121
-0.497427 -0.447838 0.054967 0.047274 0.542637 0.549602 0.049588 0.007694 0.006964
0.506890 0.513178 0.015807 0.019995 0.312200 0.319844 0.006287 0.004188 0.007644
-0.058887 -0.066100 0.195634 0.209319 0.005667 0.016073 0.007213 0.013685 0.010407
-0.227040 -0.233285 -0.051542 -0.035012 -0.229367 -0.179315 0.006245 0.016530 0.050052
0.030622 0.033237 -0.034170 -0.061661 0.249757 0.238097 0.002615 0.027491 0.011660
-0.055792 -0.032985 0.282568 0.296987 0.106815 0.091841 0.022807 0.014419 0.014973
-0.341442 -0.281922 0.101143 0.090764 -0.190840 -0.165429 0.059521 0.010379 0.025412
0.133399 0.105453 -0.101493 -0.105214 -0.236793 -0.244091 0.027946 0.003721 0.007298
0.208275 0.176645 0.018618 0.031673 0.060014 0.027196 0.031630 0.013055 0.032819
-0.158816 -0.140469 0.086458 0.073307 0.350251 0.345327 0.018347 0.013150 0.004924
-0.047859 -0.089872 -0.226092 -0.287977 -0.194931 -0.206816 0.042013 0.061885 0.011885
-0.061570 -0.078639 -0.050188 -0.064202 -0.103453 -0.104792 0.017068 0.014014 0.001339
